"Zone","ParentZone","Locality","State","Postcode","CountryCode","RemoteArea","RemoteAreaFees1","RemoteAreaFees2"
"C2","C2","IRONBARK","QLD","4306","AU","False","",""
"C2","C2","IRONGATE","QLD","4356","AU","False","",""
"C15","C15","IRONMUNGY","NSW","2630","AU","False","",""
"C2","C2","IRONPOT (4610)","QLD","4610","AU","False","",""
"C6","C6","IRONPOT (4701)","QLD","4701","AU","False","",""
"N3","N3","IRONBARK","NSW","2347","AU","False","",""
"C2","C2","IRVINGDALE","QLD","4404","AU","False","",""
"C10","C10","IRVINEBANK","QLD","4887","AU","False","",""
"C11","C11","MOUNT ISA","QLD","4825","AU","False","",""
"TCAN","TCAN","ISAACS","ACT","2607","AU","False","",""
"C7","C7","ISAAC PLAINS MINE SITE","QLD","4744","AU","False","",""
"C15","C15","ISABELLA","NSW","2795","AU","False","",""
"TCAN","TCAN","ISABELLA PLAINS","ACT","2905","AU","False","",""
"C11","C11","MOUNT ISA EAST","QLD","4825","AU","False","",""
"C12","C12","ISISFORD","QLD","4731","AU","False","",""
"TNTL","TNTL","ISLINGTON","NSW","2296","AU","False","",""
"C6","C6","ISLA","QLD","4719","AU","False","",""
"TGOL","TGOL","ISLE OF CAPRI","QLD","4217","AU","False","",""
"N13","N13","IVANHOE","NSW","2878","AU","False","",""
"C4","C4","IVERAGH","QLD","4680","AU","False","",""
"C2","C2","IVORY CREEK","QLD","4313","AU","False","",""
"C15","C15","JACKSONS FLAT","NSW","2469","AU","False","",""
"C15","C15","JAGUMBA","NSW","2642","AU","False","",""
"C15","C15","JACKY BULBIN FLAT","NSW","2463","AU","False","",""
"C15","C15","JACKADGERY","NSW","2460","AU","False","",""
"C13","C13","JACKSON","QLD","4426","AU","False","",""
"C13","C13","JACKSON NORTH","QLD","4426","AU","False","",""
"C13","C13","JACKSON SOUTH","QLD","4426","AU","False","",""
"C1","C1","JACOBS WELL","QLD","4208","AU","False","",""
"TTSV","TTSV","JAMES COOK UNIVERSITY","QLD","4811","AU","False","",""
"C15","C15","JACKS CREEK","NSW","2390","AU","False","",""
"C15","C15","JAUNTER","NSW","2787","AU","False","",""
"C9","C9","JAFFA","QLD","4855","AU","False","",""
"C10","C10","JAGGAN","QLD","4885","AU","False","",""
"TCAN","TCAN","JACKA","ACT","2914","AU","False","",""
"C6","C6","JAMBIN","QLD","4702","AU","False","",""
"N7","N7","JAMBEROO","NSW","2533","AU","False","",""
"N6","N6","JAMES CREEK","NSW","2463","AU","False","",""
"TBRI","TBRI","JAMBOREE HEIGHTS","QLD","4074","AU","False","",""
"TCAN","TCAN","JAMISON CENTRE","ACT","2614","AU","False","",""
"TSYD","TSYD","JAMISONTOWN","NSW","2750","AU","False","",""
"C5","C5","JANDOWAE","QLD","4410","AU","False","",""
"TSYD","TSYD","JANNALI","NSW","2226","AU","False","",""
"C7","C7","JAPOONVALE","QLD","4856","AU","False","",""
"C7","C7","JARVISFIELD","QLD","4807","AU","False","",""
"C6","C6","JARDINE","QLD","4702","AU","False","",""
"C14","C14","JARDINE RIVER","QLD","4874","AU","False","",""
"C9","C9","JARRA CREEK","QLD","4854","AU","False","",""
"N7","N7","JASPERS BRUSH","NSW","2535","AU","False","",""
"C15","C15","JAGUNGAL WILDERNESS","NSW","2642","AU","False","",""
"C7","C7","JAX PIT COAL MINE","QLD","4804","AU","False","",""
"C6","C6","JELLINBAH","QLD","4702","AU","False","",""
"C15","C15","JENOLAN","NSW","2790","AU","False","",""
"C2","C2","JEEBROPILLY","QLD","4340","AU","False","",""
"N9","N9","JERILDERIE","NSW","2716","AU","False","",""
"N8","N8","JEIR","NSW","2582","AU","False","",""
"C15","C15","JERRABATTGULLA","NSW","2622","AU","False","",""
"N10","N10","JELLAT JELLAT","NSW","2550","AU","False","",""
"C15","C15","JEMBAICUMBENE","NSW","2622","AU","False","",""
"C15","C15","JEMALONG","NSW","2871","AU","False","",""
"C9","C9","JENSEN","QLD","4818","AU","False","",""
"C5","C5","JENNINGS","NSW","2372","AU","False","",""
"C15","C15","JENOLAN CAVES","NSW","2790","AU","False","",""
"C15","C15","JEOGLA","NSW","2350","AU","False","",""
"C15","C15","JEWS LAGOON","NSW","2397","AU","False","",""
"C12","C12","JERICHO","QLD","4728","AU","False","",""
"N8","N8","JERANGLE","NSW","2630","AU","False","",""
"TCAN","TCAN","JERRABOMBERRA","NSW","2619","AU","False","",""
"C15","C15","JEREMY","NSW","2795","AU","False","",""
"TBBY","TBBY","JEREMADRA","NSW","2536","AU","False","",""
"C15","C15","JERVIS ISLAND","QLD","4875","AU","False","",""
"TGBN","TGBN","JERRONG","NSW","2580","AU","False","",""
"C9","C9","JERONA","QLD","4809","AU","False","",""
"N2","N2","JERRYS PLAINS","NSW","2330","AU","False","",""
"N7","N7","JERRARA","NSW","2533","AU","False","",""
"C15","C15","JERRAWA","NSW","2582","AU","False","",""
